Feature,Importance
$cvxT_{max}$,0.63231856
$CvxT_{Range}$,0.1159587
$EDA_{Mobility}$,0.11270073
$oo_{sd1/sd2}$,0.09877645
$cvxP_{max}$,0.097040385
$oo_{pnn50}$,0.07132434
$oo_{breathRate}$,0.070430554
