Feature,Importance
$cvxT_{max}$,0.6022726
$CvxT_{Range}$,0.12667355
$EDA_{Mobility}$,0.10617582
$cvxP_{max}$,0.10498518
$oo_{sd1/sd2}$,0.0830842
$oo_{breathRate}$,0.06731031
$oo_{pnn50}$,0.06164042
