Feature,Importance
$cvxT_{max}$,0.8509412
$EDA_{Mobility}$,0.17168246
$CvxT_{Range}$,0.13778709
$oo_{sd1/sd2}$,0.13425054
$cvxP_{max}$,0.13030331
$oo_{pnn50}$,0.11187227
$oo_{breathRate}$,0.10841936
